scenario,city,year,hdd18_3,cdd18_3,mean_drybulb_c,delta_hdd_vs_2025,delta_cdd_vs_2025,delta_mean_drybulb_c_vs_2025
CMIP5_rcp85,Los_Angeles,2025,799.8,693.7,18.01,,,
CMIP5_rcp85,Los_Angeles,2100,166.7,1598.6,22.22,-633.1,904.9,4.21
CMIP5_rcp85,Miami,2025,24.0,2703.5,25.64,,,
CMIP5_rcp85,Miami,2100,3.0,3746.8,28.56,-21.0,1043.3,2.92
CMIP5_rcp85,Montreal,2025,3935.3,436.1,8.71,,,
CMIP5_rcp85,Montreal,2100,2806.8,1176.5,13.83,-1128.5,740.4,5.12
CMIP5_rcp85,Toronto,2025,3638.8,415.0,9.47,,,
CMIP5_rcp85,Toronto,2100,2369.6,1312.2,15.4,-1269.2,897.2,5.93
CORDEX_CMIP5_RegCM_rcp85,Los_Angeles,2025,962.5,604.5,17.32,,,
CORDEX_CMIP5_RegCM_rcp85,Los_Angeles,2100,292.1,1336.5,21.16,-670.4,732.0,3.84
CORDEX_CMIP5_RegCM_rcp85,Miami,2025,30.8,2751.4,25.75,,,
CORDEX_CMIP5_RegCM_rcp85,Miami,2100,7.6,3713.4,28.45,-23.2,962.0,2.7
CORDEX_CMIP5_RegCM_rcp85,Montreal,2025,4074.5,339.8,8.07,,,
CORDEX_CMIP5_RegCM_rcp85,Montreal,2100,2896.9,862.8,12.73,-1177.6,523.0,4.66
CORDEX_CMIP5_RegCM_rcp85,Toronto,2025,3688.5,307.3,9.04,,,
CORDEX_CMIP5_RegCM_rcp85,Toronto,2100,2428.4,846.1,13.96,-1260.1,538.8,4.92
CORDEX_CMIP5_REMO2015_rcp85,Los_Angeles,2025,950.4,647.7,17.47,,,
CORDEX_CMIP5_REMO2015_rcp85,Los_Angeles,2100,252.6,1288.3,21.14,-697.8,640.6,3.67
CORDEX_CMIP5_REMO2015_rcp85,Miami,2025,57.7,2779.5,25.76,,,
CORDEX_CMIP5_REMO2015_rcp85,Miami,2100,13.6,3723.7,28.46,-44.1,944.2,2.7
CORDEX_CMIP5_REMO2015_rcp85,Montreal,2025,4022.3,258.7,7.99,,,
CORDEX_CMIP5_REMO2015_rcp85,Montreal,2100,3145.3,702.2,11.61,-877.0,443.5,3.62
CORDEX_CMIP5_REMO2015_rcp85,Toronto,2025,3665.1,299.8,9.08,,,
CORDEX_CMIP5_REMO2015_rcp85,Toronto,2100,2830.2,770.3,12.66,-834.9,470.5,3.58
