Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 07/21  01:00:00,351042723.811192,351042723.811192 
 07/21  02:00:00,346315496.95095116,346315496.9509512 
 07/21  03:00:00,354832502.2927973,354832502.2927973 
 07/21  04:00:00,352050591.3948529,352050591.3948529 
 07/21  05:00:00,353063840.7213553,353063840.7213553 
 07/21  06:00:00,346033683.0770222,346033683.0770222 
 07/21  07:00:00,418418620.74845725,418418620.7484572 
 07/21  08:00:00,522229908.6972557,522229908.6972557 
 07/21  09:00:00,525577428.75175154,525577428.75175166 
 07/21  10:00:00,543593686.2796673,543593686.2796674 
 07/21  11:00:00,560125397.4114518,560125397.4114518 
 07/21  12:00:00,571261363.7111286,571261363.7111286 
 07/21  13:00:00,583679378.7789433,583679378.7789433 
 07/21  14:00:00,598510887.1731546,598510887.1731546 
 07/21  15:00:00,607153817.2988961,607153817.2988961 
 07/21  16:00:00,605520685.7982593,605520685.7982591 
 07/21  17:00:00,595021969.9007474,595021969.9007474 
 07/21  18:00:00,573298040.3373191,573298040.3373191 
 07/21  19:00:00,532587670.4516878,532587670.45168793 
 07/21  20:00:00,505046422.4923127,505046422.4923128 
 07/21  21:00:00,484358308.8492466,484358308.84924644 
 07/21  22:00:00,469219053.1263795,469219053.1263795 
 07/21  23:00:00,337210638.37784094,337210638.37784094 
 07/21  24:00:00,354953695.0209363,354953695.0209363 
 01/21  01:00:00,16750170.6497561,16750170.649756094 
 01/21  02:00:00,16750170.6497561,16750170.649756094 
 01/21  03:00:00,16750170.6497561,16750170.649756094 
 01/21  04:00:00,25506939.903437696,25506939.903437696 
 01/21  05:00:00,30487072.46052485,30487072.46052485 
 01/21  06:00:00,31227139.18829077,31227139.188290767 
 01/21  07:00:00,396133296.4749628,396133296.4749628 
 01/21  08:00:00,590113888.5343225,590113888.5343226 
 01/21  09:00:00,514986426.9282743,514986426.9282744 
 01/21  10:00:00,486740697.4245143,486740697.4245143 
 01/21  11:00:00,470606628.45435154,470606628.45435154 
 01/21  12:00:00,457264097.33680934,457264097.33680934 
 01/21  13:00:00,446477739.9072268,446477739.9072268 
 01/21  14:00:00,437129886.64252853,437129886.64252853 
 01/21  15:00:00,429090988.7770209,429090988.777021 
 01/21  16:00:00,421872861.5241932,421872861.5241933 
 01/21  17:00:00,415212499.34425116,415212499.3442513 
 01/21  18:00:00,430222500.5847287,430222500.5847287 
 01/21  19:00:00,359060824.26380193,359060824.26380193 
 01/21  20:00:00,303932341.5139888,303932341.5139888 
 01/21  21:00:00,374851323.58336586,374851323.58336586 
 01/21  22:00:00,307277277.44639033,307277277.44639033 
 01/21  23:00:00,19513674.6497561,19513674.6497561 
 01/21  24:00:00,19513674.6497561,19513674.6497561 
