metric,label,climate_type,city,block_dominant,block_dominant_share,block_decomposition_r2,share_thermal_shift,share_demand_background,share_humid_heat_stress,share_solar_burden,share_persistence_heatwave
annual_edh_c_h,Annual EDH,Am,Miami,thermal_shift,0.8371982897123079,0.8276660945813623,0.8371982897123079,0.1486494260807795,0.0005376001151561,0.003206131572277,0.0104085525194794
annual_edh_c_h,Annual EDH,BWh,Phoenix,thermal_shift,0.7556884680145247,0.6843989256870266,0.7556884680145247,0.0201483008867591,0.0046965835887072,0.0,0.2194666475100087
annual_edh_c_h,Annual EDH,Csb,Los_Angeles,demand_background,0.7306157274874401,0.8433758875396062,0.168895912483393,0.7306157274874401,0.0401258770305382,0.0438397991547374,0.0165226838438912
annual_edh_c_h,Annual EDH,Cfb,Vancouver,demand_background,0.807276253516174,0.2615549032664597,0.0066510524068864,0.807276253516174,0.1860726940769394,0.0,0.0
annual_edh_c_h,Annual EDH,Dfa,Toronto,demand_background,0.8655682348382613,0.9048926239109784,0.0610766375869312,0.8655682348382613,0.0117334905480454,0.0596742070161865,0.0019474300105756
annual_edh_c_h,Annual EDH,Dfb,Montreal,demand_background,0.8160024278039869,0.893831416162253,0.1236581552879852,0.8160024278039869,0.0348696961711237,0.0254697207369042,0.0
maximum_daily_edh_k_h,Maximum daily EDH,Am,Miami,humid_heat_stress,0.5212124378669766,0.047651425265502,0.1674240912906841,0.1461002326773002,0.5212124378669766,0.0301215572022786,0.1351416809627602
maximum_daily_edh_k_h,Maximum daily EDH,BWh,Phoenix,demand_background,0.4461227640394472,0.1053170625814796,0.4122718300801308,0.4461227640394472,0.0369770981786468,0.0,0.1046283077017749
maximum_daily_edh_k_h,Maximum daily EDH,Csb,Los_Angeles,humid_heat_stress,0.559241378183326,0.2533376952010587,0.2007079303308731,0.0385213363989407,0.559241378183326,0.0105595331947114,0.1909698218921487
maximum_daily_edh_k_h,Maximum daily EDH,Cfb,Vancouver,demand_background,0.9328979384625468,0.3369192600077353,0.0066744735266268,0.9328979384625468,0.0604275880108263,0.0,0.0
maximum_daily_edh_k_h,Maximum daily EDH,Dfa,Toronto,demand_background,0.5932793700822665,0.1136726056577096,0.3939838380570266,0.5932793700822665,0.0010886832990865,0.0041919168810776,0.0074561916805428
maximum_daily_edh_k_h,Maximum daily EDH,Dfb,Montreal,demand_background,0.4966523974024575,0.0380030303904842,0.4909658122284199,0.4966523974024575,0.0123308928742551,5.08974948673553e-05,0.0
daily_edh_exceedance_days,Daily EDH exceedance days,Am,Miami,thermal_shift,0.5601665051068947,0.0785807979446815,0.5601665051068947,0.0469016266912777,0.2178625878750451,0.1677340007570872,0.007335279569695
daily_edh_exceedance_days,Daily EDH exceedance days,BWh,Phoenix,thermal_shift,0.6449358876009627,0.6074537545240875,0.6449358876009627,0.0375371744689078,0.0056035044670233,0.0,0.3119234334631062
daily_edh_exceedance_days,Daily EDH exceedance days,Csb,Los_Angeles,demand_background,0.3570548323133929,0.3328522881461547,0.0718439061358486,0.3570548323133929,0.3373575844191406,0.1672231971284722,0.0665204800031454
daily_edh_exceedance_days,Daily EDH exceedance days,Cfb,Vancouver,,,,,,,,
daily_edh_exceedance_days,Daily EDH exceedance days,Dfa,Toronto,demand_background,0.6155003318784728,0.1439538063987648,0.379309687350329,0.6155003318784728,9.462037806162064e-05,1.85440253922632e-06,0.0050935059905973
daily_edh_exceedance_days,Daily EDH exceedance days,Dfb,Montreal,humid_heat_stress,0.5545716079905996,0.1142710075189584,0.1733488742541856,0.2701204855565626,0.5545716079905996,0.001959032198652,0.0
cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,Am,Miami,thermal_shift,0.8489229885691562,0.9867559683446896,0.8489229885691562,0.1308499830670834,0.0116858281290617,0.0083315076757874,0.000209692558911
cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,BWh,Phoenix,thermal_shift,0.5353725754083498,0.9528907970221212,0.5353725754083498,0.4310017915109189,1.6812699413894697e-05,0.0,0.0336088203813173
cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,Csb,Los_Angeles,demand_background,0.5046865092945457,0.8498294797563777,0.1900102995320594,0.5046865092945457,0.1762907698381547,0.1284528642274997,0.0005595571077403
cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,Cfb,Vancouver,,,,,,,,
cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,Dfa,Toronto,demand_background,0.7431489870261334,0.7379404365078546,0.1033246215081049,0.7431489870261334,0.1216782022443081,0.0037317390472615,0.0281164501741916
cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,Dfb,Montreal,demand_background,0.757139101624056,0.6892540093771522,0.0800961274811389,0.757139101624056,0.1576697410170525,0.0050950298777524,0.0
heating_unmet_hours,Heating unmet hours,Am,Miami,demand_background,0.9909274103460376,0.7665705121667719,0.0089209318855096,0.9909274103460376,5.4866035201124845e-05,2.1139823946228283e-06,9.467775085686166e-05
heating_unmet_hours,Heating unmet hours,BWh,Phoenix,demand_background,0.782778161967206,0.6917592957554974,0.1735595371455048,0.782778161967206,0.0006897771243757,0.0,0.0429725237629134
heating_unmet_hours,Heating unmet hours,Csb,Los_Angeles,demand_background,0.8924621430378513,0.73038717411708,0.0575913169749144,0.8924621430378513,0.0043859170277327,0.0455597156710462,9.072884552831374e-07
heating_unmet_hours,Heating unmet hours,Cfb,Vancouver,demand_background,0.6626945460811511,0.9695476688033308,0.3353582819894392,0.6626945460811511,0.0019471719294097,0.0,0.0
heating_unmet_hours,Heating unmet hours,Dfa,Toronto,demand_background,0.800927791165723,0.9442515881266602,0.1984950813277863,0.800927791165723,0.0002795847051211,0.0002963875766653,1.1552247040194354e-06
heating_unmet_hours,Heating unmet hours,Dfb,Montreal,demand_background,0.7420612641070377,0.951345588229161,0.2522435850782237,0.7420612641070377,0.0056764007604261,1.875005431262564e-05,0.0
